model,level,tag,n_train,n_test,base,roc,pr
HistGB,L1,НАИВНО: весь por -> весь mat,649,395,0.3291139240506329,0.9439187227866473,0.8981020556576058
HistGB,L1,ЧЕСТНО: por без пересечения -> весь mat,275,395,0.3291139240506329,0.9289404934687954,0.8848996065649697
HistGB,L1,ОЧЕНЬ ЧЕСТНО: por без перес. -> mat без перес.,275,25,0.36,1.0,1.0
HistGB,L1,ЗАГРЯЗНЕНО: весь por -> только пересечение mat,649,370,0.327027027027027,0.9417836635799396,0.8949721391696277
логрег,L1,НАИВНО: весь por -> весь mat,649,395,0.3291139240506329,0.958722786647315,0.9220623930796521
логрег,L1,ЧЕСТНО: por без пересечения -> весь mat,275,395,0.3291139240506329,0.9484760522496372,0.9003198961812573
логрег,L1,ОЧЕНЬ ЧЕСТНО: por без перес. -> mat без перес.,275,25,0.36,1.0,1.0
логрег,L1,ЗАГРЯЗНЕНО: весь por -> только пересечение mat,649,370,0.327027027027027,0.956055627468552,0.9181296808812215
HistGB,L2,НАИВНО: весь por -> весь mat,649,395,0.3291139240506329,0.612510885341074,0.5059495830697065
HistGB,L2,ЧЕСТНО: por без пересечения -> весь mat,275,395,0.3291139240506329,0.6066473149492018,0.5176690768277762
HistGB,L2,ОЧЕНЬ ЧЕСТНО: por без перес. -> mat без перес.,275,25,0.36,0.5,0.5055646459568028
HistGB,L2,ЗАГРЯЗНЕНО: весь por -> только пересечение mat,649,370,0.327027027027027,0.6151548342128845,0.5197703381286481
логрег,L2,НАИВНО: весь por -> весь mat,649,395,0.3291139240506329,0.6072278664731495,0.5000869270144845
логрег,L2,ЧЕСТНО: por без пересечения -> весь mat,275,395,0.3291139240506329,0.6110595065312046,0.4944018374835957
логрег,L2,ОЧЕНЬ ЧЕСТНО: por без перес. -> mat без перес.,275,25,0.36,0.5902777777777777,0.581931688500316
логрег,L2,ЗАГРЯЗНЕНО: весь por -> только пересечение mat,649,370,0.327027027027027,0.6096120017259119,0.5111398310599802
