конфигурация,roc,roc_sd,pr,pr_sd,sec
12. ансамбль тюн. без SVM/HGB,0.9692350291909925,0.012091583887718943,0.8789317450742535,0.04275967849522572,12.292173147201538
13. ансамбль ET+LR тюн.,0.9677978315262719,0.012426558584350992,0.8677215107156705,0.04790775382712793,7.494737386703491
"11. ансамбль тюн., чищеные FE",0.9672530442035031,0.012553435575533274,0.8681840614327533,0.04435961033434047,14.762864828109741
"7. чищеные FE, ExtraTrees тюн.",0.9669042535446206,0.012485665399805666,0.8620100401693565,0.04788552993313409,7.025091648101807
"6. все FE, ExtraTrees тюн.",0.9668665554628858,0.012145438000497952,0.8611307425557095,0.04742920784758717,7.054335355758667
"5. чищеные FE, RF",0.9667585487906589,0.013032070119649845,0.8734457087652647,0.04384809175283493,5.241585969924927
0. baseline стартера (get_dummies + RF400),0.9667449541284402,0.010597820742865487,0.851544011003042,0.04789162502780424,7.2668235301971436
"2. без FE, RF",0.9666065888240201,0.012024175499878017,0.8477552818275522,0.05439882542873425,4.86147141456604
"10. ансамбль, чищеные FE",0.9660680567139284,0.01431950183196137,0.8711074056395658,0.043944265504859595,12.179967403411865
"9. ансамбль, все FE",0.9655030859049208,0.015226742254298988,0.8710029016683698,0.04514902665781442,12.449445247650146
"4. чищеные FE, ExtraTrees",0.9645914929107591,0.015234331272324859,0.865080414432897,0.043898937148686375,4.467623710632324
"3. все FE, ExtraTrees",0.96428081734779,0.014719726846562945,0.8598888225844202,0.04622061324887456,4.506046772003174
"1. без FE, ExtraTrees",0.9510277731442869,0.016832428320824065,0.7938649726537443,0.06887590414406403,4.454135417938232
"8. без FE, ExtraTrees тюн.",0.937796997497915,0.01873704716691618,0.7437263625832192,0.0722357916629838,6.780224084854126
